구별,인구수,한국인,외국인,고령자,외국인비율,고령자비율,소계,최근증가율
종로구,161984,151217,10767,28073,6.646952785460293,17.330724022125644,1471,56.323060573857596
중구,136469,126175,10294,23794,7.543105027515407,17.435461533388537,1544,145.4689984101749
용산구,246165,229579,16586,39439,6.737757195377085,16.02136778177239,2063,12.058663769690385
성동구,307193,299042,8151,44728,2.6533807736504413,14.560227609353078,2679,114.14868105515588
광진구,365990,350417,15573,48989,4.255034290554387,13.385338397223967,1581,111.93029490616621
동대문구,362793,346156,16637,60367,4.585810641329904,16.63951619794208,2003,39.38761308281141
중랑구,400678,395619,5059,66764,1.2626098762597397,16.66275662751636,1068,22.477064220183486
성북구,454532,442494,12038,72172,2.6484383937764555,15.87830999797594,3003,78.00829875518673
강북구,316750,312985,3765,61660,1.1886345698500393,19.466456195737962,1265,83.06801736613603
도봉구,333495,331238,2257,60023,0.6767717656936386,17.99817088711975,858,66.60194174757281
노원구,535495,531037,4458,82682,0.8325007703153158,15.440293560163962,1906,42.026825633383005
은평구,482509,478019,4490,82245,0.9305525907288775,17.045277911914596,2962,43.091787439613526
서대문구,325875,312642,13233,53038,4.060759493670886,16.275565784426544,2121,71.7408906882591
마포구,386086,374570,11516,53283,2.982755137456422,13.800811218225991,1935,91.77403369672945
양천구,460532,456339,4193,62761,0.9104687622141349,13.627934649492326,2775,90.19876627827279
강서구,595703,589302,6401,85992,1.0745287500650493,14.435381389719373,1617,77.88778877887789
구로구,438308,405837,32471,67432,7.408260857661736,15.384615384615385,3227,72.10666666666667
금천구,251370,232583,18787,38508,7.473843338504993,15.319250507220433,1634,112.48374512353708
영등포구,404766,371903,32863,59373,8.119011972349456,14.66847511895762,2495,139.44337811900192
동작구,407802,395014,12788,63378,3.1358355280258556,15.541365662748099,1780,79.25478348439073
관악구,516662,499374,17288,76664,3.3460947389202222,14.838327571990973,3985,99.1504247876062
서초구,434801,430568,4233,58332,0.9735488188849611,13.415792511976743,2835,54.07608695652174
강남구,549898,544804,5094,72602,0.926353614670357,13.2028121578911,5221,52.17137860682017
송파구,680883,674095,6788,89539,0.9969407372485435,13.150423787934198,1586,62.83367556468173
강동구,457042,452646,4396,66401,0.9618372053334268,14.528424083563435,1879,82.96007789678676
